ad_id,advertiser_name,keywords,bid_price,quality_score,historical_clicks,historical_impressions
1c5e1dff-5718-56fe-bf83-92ad9259af7c,"Flowers, Martin and Kelly",headphones|shoes|sneakers,1.88,2.82,492,9278
6f15efb2-56e1-5ef9-bbcf-e2cec6aa895e,"Adams, Zuniga and Wong",headphones|running|skincare|workout,3.32,4.89,229,3062
5943535d-76ef-5b55-9854-7834f78fabb6,"Reid, Ferguson and Sanchez",flights|jeans|smartphone|sneakers,1.15,3.97,878,10031
c20062ec-ec6d-5518-bc1b-569d4f80148a,Gray-Mayo,beauty|flights,3.11,9.33,1367,9106
b6dd72fa-64e1-5496-a503-f22ad5352400,"Watts, Robinson and Nguyen",fitness|protein|running,0.87,8.04,1495,9801
24775838-2e01-5038-818f-f9e9f30e9551,Perez Inc,education|headphones|smartphone|workout,1.99,3.40,534,11036
665549de-3aad-5340-8060-0f5ebf6142bf,Morales-Jones,gym|laptop|running|skincare,0.99,5.99,265,3062
9929bebb-cc6f-5eb2-8231-65d091b423de,"Walter, Edwards and Rios",gym|protein,3.96,7.54,715,6617
f3ce1f33-c1ab-5c23-b45c-80da7bd14c53,Wilkerson-Day,finance|yoga,2.17,5.99,85,1037
75c90774-6383-575a-bda0-1436d874db3e,Baker and Sons,electronics|finance|jackets,2.82,3.62,922,18138
ac2254cf-8fdc-5404-9eb7-fabcb84da534,"Hoffman, Baker and Richards",finance|travel|workout,4.51,9.93,1532,8871
84ae536f-11c4-5ae4-a14e-5ba7fb33bbd3,"Ross, Robinson and Bright",jackets|skincare|sneakers|travel|yoga,2.18,6.95,2315,17760
66fcb3ff-1624-5181-8af1-8aee33a16150,"Snyder, Campos and Callahan",gym|laptop,1.05,3.17,1505,18755
b77c2b39-d27a-5077-8c13-d632bb541cd6,Burton Ltd,fashion|fitness|hotel|laptop|workout,4.00,3.79,416,6612
26ee0945-cd2d-5554-9729-9c73c734b973,Carlson-Cruz,books|fitness|laptop|running|workout,2.78,2.10,365,13649
aadec79e-cba4-55e1-9a36-b483fb6286ae,"Ferrell, Rice and Maddox",beauty|gaming|laptop|skincare|workout,1.06,2.18,382,11475
9456dafb-64d3-5534-875c-4f74580fdf93,Frazier Inc,fitness|gaming|gym|skincare|travel,0.61,9.32,856,5942
d5650101-59af-5f83-90f7-524699875bb7,"Dyer, Potter and Mack",hotel|skincare,2.39,2.26,30,428
4f708548-5252-5a1b-9e55-7b262bb7c7d7,Rodriguez-Graham,beauty|fashion|fitness|headphones|skincare,4.23,1.98,18,651
344d5f12-8b0b-51b1-adc9-eb34793e3d5d,Smith-Bowen,electronics|travel|yoga,3.21,8.81,722,6010
386d819c-50d8-5c95-b19b-28195b1d1600,"Baker, Mason and White",insurance|sneakers|vacation,1.56,3.23,358,9241
be3f0bac-c190-5220-b3d2-d314831abad3,Harrell LLC,books|fashion|finance|shoes|sneakers,1.90,8.42,2580,18490
5be39094-428a-5c8e-8cf5-20d25a545167,"Romero, Gonzalez and Brooks",flights|workout,1.02,2.38,235,5908
ae1f6ad7-a45c-59e3-a4bf-2b37e7190513,Ryan PLC,finance|shoes|skincare|workout,2.27,7.13,1838,16615
5c941676-d951-505c-b754-aa412b72fd5d,George Group,beauty|fashion|skincare,1.57,2.63,90,1156
36a82def-3ccd-5bf2-94cb-7ea60d5e67fd,Rodriguez LLC,books|protein|smartphone|travel,0.96,5.71,201,2138
aa7773fc-560b-5e58-a6ea-031272af5a0d,Allen-Allen,electronics|insurance|skincare|sneakers|vacation,4.01,8.22,2467,19597
28a7ff1d-7d9b-560f-b3fc-99e9671285f4,"Arroyo, Miller and Tucker",education|fashion|fitness|skincare,2.58,8.72,2122,15747
c7f825fa-72db-5e7a-8cac-883661defce8,Spence PLC,gym|shoes|yoga,1.55,4.75,520,9714
ff3d4427-eff3-517a-8848-d309f3a79d8c,Anderson Group,electronics|fashion|finance|headphones,4.77,3.67,1181,13515
3ae6e63f-c9c9-5c82-a5a4-be6a56b1b991,"Martin, Rose and Obrien",finance|headphones|protein|travel|vacation,3.35,5.79,1301,16146
fbdb60d5-0e4b-54b9-807e-ef6ce3524f20,Hickman Ltd,jeans|running,4.37,7.25,2375,18403
bb6e4404-0715-5b13-a86d-7bafb0019d52,"Harris, Collins and Carney",hotel|sneakers,4.71,1.76,491,14596
d867b6e4-eda5-5020-ace8-32ba178be87d,"Brooks, Lam and Hayes",fitness|hotel|jackets|skincare|smartphone,1.64,9.51,1932,14520
866b82ad-3e7b-5e97-bd28-00cc3e13729e,Walker LLC,flights|headphones|insurance|workout,2.85,5.19,969,11576
3ae8045e-3a0c-59be-909a-f37ef3f1eba2,Chapman and Sons,education|fashion|headphones|hotel|yoga,0.89,2.05,510,9917
18364ddf-1edd-5c7e-b2fc-22a186502d88,"Robinson, Jones and Welch",fashion|jeans|skincare|yoga,1.72,7.86,1927,17997
eedd57b7-51da-57a7-ba4b-41102b5a204b,Jones Inc,education|finance|fitness|protein,2.22,4.94,192,2820
c2c5264c-f05c-5ff9-ac38-5fc66b2c84cc,Jones-Young,beauty|books|laptop|skincare,3.73,9.88,1242,7714
30c0f1ba-86c3-5aee-8d7b-c1bd8cff3cbb,"Washington, Ryan and Cummings",books|gym|sneakers,3.15,2.10,38,937
cb4d19cc-57e1-5a70-9dd1-37f71716f0e0,"Johnston, Sanchez and Kennedy",jeans|skincare|smartphone|sneakers,1.86,4.98,817,9333
ecbd9539-1189-5751-a546-cc08a2a0a1c2,Lee-Davis,fashion|smartphone|sneakers|travel,4.27,3.56,71,1151
31bf4536-7e6a-5a08-ae2f-8ebb2dcb03c7,Gomez-Jenkins,hotel|sneakers,1.58,1.26,448,17971
fbf24b73-aee9-570b-970f-a895447906a5,"Brown, Valdez and Lucas",education|fashion|jeans|running|workout,0.73,1.05,86,16453
db957ea8-251f-58e9-a556-9a1b29cb7dbb,Powell LLC,books|insurance|protein|yoga,3.97,9.35,2528,16078
3c7cfbb8-6f52-545b-90a1-ddb0b359acdf,Wright and Sons,headphones|jeans|running|smartphone|yoga,3.34,7.71,217,1994
ffb87470-58bc-5b2a-9042-3fc54d3e3d10,"West, Henderson and Ramirez",fashion|running|shoes|vacation|workout,0.75,6.50,1675,19610
32d465fd-6651-5223-a274-9b0ebd5fc228,Baxter Inc,shoes|yoga,1.28,7.39,803,7611
e8f4c997-1a1c-5a81-bb2b-9df0faea265d,Morton-Chase,insurance|laptop,3.36,8.06,1192,9333
5c2ea8c2-2e64-586b-9672-a3b453e89c63,Williams PLC,finance|fitness|gym,3.65,6.20,610,5372
4e302048-11cf-5eb2-a6f6-876b6bbc00ae,Novak and Sons,education|fitness|headphones|travel,1.10,2.07,399,9641
8811a688-bb66-5e58-b6de-61b388e57a5d,Russell Group,hotel|protein,3.36,6.50,1720,19437
2c3a6aac-d4c0-53d2-b661-a2f220a54516,Hancock Inc,beauty|finance|yoga,2.38,1.32,377,6545
17383a7b-6924-53cf-9243-38087f2d1cb9,Gray Group,sneakers|yoga,3.66,6.09,1086,11076
0f13f885-a8e9-5916-a61c-cbe53a99b54f,House-Glover,beauty|flights|gym|protein,2.12,6.63,934,8798
8d64c1b1-894a-5974-8836-3cbaa5f9c5bb,Henderson-Bernard,education|fitness|gaming|skincare|vacation,1.92,8.20,1419,10530
ddd40bfb-29f0-5950-811e-84898cc95c4c,"Stanley, Tucker and Lee",books|education|jackets|shoes|sneakers,3.84,3.83,217,3707
7d65aa99-3ca8-5ca4-a38e-d766b48e27b0,Novak PLC,books|fashion|jackets,3.20,2.38,67,13468
54440cda-649d-5eb9-bb9a-abb0e9ff0ef0,"Daniels, Adkins and Brown",finance|gaming,1.90,7.95,2554,19910
395f086d-7fc3-5733-b303-49d6af110bcc,"Woods, Calhoun and Schmidt",fashion|jackets,0.55,6.77,1495,13596
a90d3556-fd60-5251-b8f4-aea6f074a037,Yu Inc,headphones|workout,4.95,8.53,410,3568
bd9644e1-196f-56d6-b4c0-49f92bf6992e,Jones Inc,beauty|insurance,2.52,2.27,1075,16906
10950995-c48f-57b7-a484-5beb8a9d38e1,"Hensley, Powell and David",beauty|jeans|shoes,1.31,2.36,347,9545
881fa372-d08a-5588-aaa0-cf0702f09474,"Sanchez, Wheeler and Harvey",flights|protein|running|workout|yoga,0.88,5.44,413,5596
efdb076a-7c39-5975-a33a-1013ae8e8342,Sandoval-Cunningham,skincare|vacation,3.93,7.03,1459,13088
4ff0f569-b1dd-525b-bd61-834a3df62a42,Donovan-Harris,books|electronics|fashion|travel,3.96,5.34,1158,13876
2b2b9c44-d09d-5030-b193-d562ee4cfe9a,"Edwards, Baker and Anderson",beauty|fitness|flights|laptop|protein,0.97,5.78,910,10126
d379e1d7-472a-53f7-b314-22ba44b42138,"Evans, Stewart and Walton",beauty|flights|hotel|laptop|workout,4.67,1.22,416,13908
57ba3a27-5746-5ff2-92d9-b4a6d59ac653,Smith PLC,fitness|flights|insurance,3.35,7.33,525,5777
f01b7b7e-3e8f-55eb-9563-e3b322eb9a1a,"Ferrell, Jones and Lewis",beauty|finance|headphones|jackets|travel,4.02,9.67,1464,9376
2a05963b-cb0a-5e62-b935-3047aa1d914c,Anderson-Bailey,finance|headphones|insurance|jackets|vacation,1.80,9.86,3403,19405
642d585e-b8ed-542b-bf06-b0e2d2aa0d3a,Suarez LLC,electronics|fitness|flights|running|vacation,4.93,5.41,1019,17238
684a728c-1748-5976-8fee-239de1640acb,Moore-Bass,shoes|smartphone|yoga,4.11,6.00,201,1970
397ffb45-4fe9-5fc2-ac2e-4a707604097c,"Turner, Riggs and Roman",jackets|running|yoga,0.99,1.44,164,18651
d95523d7-add2-5a7f-9734-28754a842b3b,"Smith, Montoya and Evans",books|hotel|jeans|running,1.56,1.44,835,16077
ad3020f8-929b-5e78-94b7-f33c7087ded5,"Garcia, Humphrey and Baker",headphones|skincare,3.55,5.63,869,10753
d9887385-82c7-5ae9-8acd-82ca4d82fbf3,Newton and Sons,education|fashion,4.34,3.14,1057,13530
97133a6e-7e24-5024-9118-47a9b649acb0,Campbell-Clark,beauty|fashion|hotel|jeans|protein,1.34,8.98,1965,13682
8ecf96b1-3f91-5fa5-8261-f586cbcec49a,Harris-Walters,headphones|jeans,1.83,9.99,2347,16206
519f4868-b6bd-5a8f-84c8-86422898f6fa,Wagner-King,fitness|flights|sneakers|workout,2.27,6.36,1276,10067
bc04ebb4-04e5-5ce9-a581-ab9c405e451c,Davis Group,fitness|insurance|laptop|protein|sneakers,3.36,5.08,64,648
07e1889c-9270-5c2a-8d30-5d03b6ee3d6f,Williams-Cook,books|finance|smartphone,1.78,5.87,475,7130
eb2aab13-549a-5777-9781-9cff2ce915bc,Walsh LLC,books|gaming|insurance|protein|skincare,1.85,6.88,1033,11937
f2a4dc2b-ced3-5482-a7d9-4d349661f077,Figueroa PLC,insurance|protein|workout,3.03,3.55,299,5236
16014c18-7173-53e7-8663-3d8b72456bb8,"Patterson, Smith and Jones",beauty|finance|headphones|smartphone|travel,4.04,9.12,2133,16348
da9b6155-19fd-59b7-951b-24520982e4fb,"Mckee, Gardner and Davenport",electronics|flights,4.80,6.88,1607,15657
b9179bcd-86a1-5cbe-b14a-ae9712530663,"Tran, Jordan and Williams",education|finance|fitness|running,0.79,3.21,46,1109
332becbd-8ad1-5ff4-9c18-86cbe4d3ec0a,Nolan-Flynn,electronics|gaming|jackets,2.23,2.00,365,15617
504aedf8-7daf-5825-addc-f71f039b69c7,Nolan and Sons,headphones|yoga,2.37,4.55,459,6250
61015c3f-f878-5f40-92e4-41b4fdab26aa,"Wright, Garcia and Deleon",books|smartphone|sneakers,2.70,5.57,86,876
7ccb7d7e-7bfa-5393-b064-eef6e7bf551e,Dickson-Brady,gaming|jackets|travel,1.59,3.90,229,5428
4182ff7e-6ef1-534d-9cfa-d16af489af33,Hancock and Sons,electronics|hotel|jeans|protein|yoga,3.70,5.15,368,4069
ad543825-1749-5039-a887-aed1b8e2d6ea,Johnson-Doyle,fitness|protein,1.35,1.08,685,18400
94011c08-7230-563f-924e-11fd561845e8,Patton-Jenkins,jeans|sneakers,3.06,3.17,128,4845
afdd7bee-5303-5b42-b70e-547ae8b483d1,"Shields, Cochran and Adams",books|headphones|protein|running,4.35,7.96,426,3506
96cff2b9-41f0-5f36-b552-88806a8d7218,"Rodriguez, Brennan and Garrison",books|flights,4.93,6.43,161,1865
67e8b86f-3671-57a6-81dd-50761ee031f0,Gonzalez Group,fitness|flights|protein,2.36,2.95,757,12134
af27ea06-b5db-590a-93ee-bc381b5b496f,Torres-Pope,jackets|jeans|laptop|running|shoes,3.69,7.53,847,6239
7f776885-f6f8-57e9-bec9-d88f249fbccd,Walker Ltd,fitness|hotel|skincare|sneakers,1.28,7.24,352,3131
e1898877-606d-5bd9-8c36-e561088de66c,Ross LLC,finance|gym,4.97,1.15,307,11682
3c10814a-644d-5938-909a-0a561dd10f09,Rasmussen LLC,books|skincare|sneakers|travel,0.73,3.46,498,12549
020b0411-8b09-54b5-bdbf-5805661ed4cc,May-Ross,electronics|protein,0.58,8.53,192,1322
56634d59-6615-5554-9e66-247b37c156d1,"Rivera, Johnson and Wiley",beauty|finance|gym|jackets,3.55,4.57,1045,11204
971a80d0-ece9-5e3b-80b5-bd3d7e507d3e,White-Estes,fashion|gaming|gym|insurance|jeans,4.08,1.11,132,7361
eabced5b-16bf-5818-9415-48ff36e55b00,Johnson-Carlson,education|jackets|skincare|sneakers,4.83,2.34,489,13746
02d5a944-30c1-50ff-a299-c9b74ba31ebe,Chandler-Edwards,books|insurance|skincare|workout,3.80,5.23,1087,12995
602422bc-91a8-58b3-bd40-5d03f5783b07,"Joyce, Wilson and Lam",headphones|jeans|laptop|sneakers|vacation,4.57,1.94,298,11527
90359b13-8168-5a96-a16b-fa5ba6bbc6ec,Scott Ltd,fashion|headphones|running|sneakers|yoga,2.20,9.81,2358,16158
4af37362-f82c-5782-9b99-57ad3c78fc60,Smith-Frost,electronics|flights|hotel|laptop,3.21,4.68,823,11745
df289405-01b7-5bea-bdff-668528e99fd9,"Mcdaniel, Bentley and Mclaughlin",electronics|shoes|smartphone|workout,1.23,2.18,73,6363
c086ec30-51f1-53a6-ba17-495ebddac91d,Diaz Inc,books|gym|jeans|running,1.75,8.93,2234,15144
16489226-ef57-5556-a17b-bd810c2e2954,"Mccall, Hanson and Alvarado",gaming|headphones|insurance|shoes|workout,4.82,5.33,288,5121
2c100e72-17f9-52ea-966c-6da4b1f1aad8,Cortez LLC,beauty|gym|sneakers|yoga,4.56,8.89,2285,15366
dce345ba-97b9-5b75-9313-0af0759b94b7,"Parker, Ortiz and Powell",books|education|electronics|hotel,2.99,3.74,319,8675
82d50c8e-509c-51fb-95e9-cfe9b9ad3c65,Spencer-Lee,jeans|vacation,1.64,2.49,441,10984
2607f568-acf3-5088-a8dd-40a827ff3ddf,"Bentley, Byrd and Orr",laptop|skincare,1.83,7.62,2083,17003
e707d156-2d78-52a7-b2ba-5612a76c015a,"Carroll, Sullivan and Bass",jackets|running|sneakers,1.04,9.47,609,4374
e0de6e0c-ae31-51ee-bac1-ca9c581cefbc,Mitchell-Jordan,gym|laptop|sneakers|workout,2.52,4.72,359,3949
8fc9f4e8-19cd-5fe7-99e5-e5588435b661,"Lawson, Morris and Ramos",books|fitness,2.89,4.05,1528,17529
4d08bd33-f910-5607-abcf-cf4717478be0,"Lewis, Kennedy and Santana",protein|workout|yoga,4.00,8.99,1111,6769
7f9792a3-8233-592d-96a9-8497786acb2a,"Jackson, Miller and Robertson",gaming|laptop|smartphone|travel,4.79,2.13,166,2895
c97cfc90-a2ee-5847-80ab-dc6b2f59085c,"Harvey, Davis and Crane",beauty|education|fitness|flights|laptop,1.04,1.27,139,3394
4daca1c6-0296-528c-a5d7-f4a1845286a3,Chambers and Sons,beauty|headphones|insurance|shoes|travel,4.18,9.90,374,3988
80472cca-3008-558d-a5f3-bcf2e9e4599f,Hernandez Inc,beauty|fitness|headphones,0.73,4.07,1114,18656
fb226434-5274-5e79-ae47-1bae86dedb88,Riggs PLC,finance|hotel|shoes,4.66,2.91,569,15934
8d1278a4-133c-571a-a5be-dd7aa084f4f2,Gibson Ltd,hotel|jeans|running,0.78,3.53,487,8131
1a4b69af-2050-576b-9940-09e5a0e2b0ec,"Lee, Horton and Snyder",beauty|fitness|smartphone,1.94,9.30,1002,8040
ff20307d-5820-50c8-b812-89fdbb0fdb6f,Hernandez Ltd,fashion|protein|smartphone|vacation,2.04,9.55,1741,11249
52679c3d-6c26-5bba-b1e7-17deaddff596,Stafford Inc,finance|skincare,4.52,5.05,83,1092
03af8b16-bf3c-5e96-ac39-872319fb3389,Robinson-Brock,finance|fitness|flights|laptop|protein,3.03,4.63,249,3245
1914fcb3-9963-544f-aa19-ee03a37d29cf,"Holmes, Williams and Wright",electronics|skincare|smartphone|vacation,2.48,4.67,531,7044
340d387b-6e5a-5d44-806a-60c2d8d78661,Bryant Group,fashion|fitness|protein|sneakers|vacation,1.39,3.94,141,3499
cfae780b-9533-5aa0-a87f-b0bc844ed0d0,"Schmidt, Hansen and Stewart",finance|skincare|vacation|workout|yoga,3.54,3.55,195,3031
76142cc3-03be-542a-a7db-74f3a4fa0e9c,Salazar-Ball,education|flights|travel|workout,1.65,6.49,741,6361
bb9b573b-014b-57f4-9025-cf124d6b10e4,"Simmons, Meadows and Griffin",education|gaming|smartphone|vacation,4.44,4.60,68,757
db541426-53c1-5023-9a3c-dbe1654c540c,Manning Group,finance|smartphone|workout,2.95,3.90,938,14181
b8f67ce6-267f-5cb2-b22e-09276e4c67e6,Green-Wright,electronics|jackets|skincare,4.29,9.31,2685,18279
818c3a63-b94b-5ee4-aac1-187a279785ae,"Ramirez, Strickland and Washington",insurance|jeans,2.66,7.86,1796,12636
7fe6e6b3-74e6-5fc5-92e3-0fabfa269889,Hill Inc,flights|insurance|vacation,2.34,6.27,643,5378
f26f4a9d-af4e-54f0-9b59-f9c1a2637029,"Mitchell, Nelson and Flores",flights|gym|jeans|skincare,4.09,4.03,192,2945
cf2eaf40-f615-52db-94e7-431534a070d4,"Miller, Hernandez and Reyes",fashion|flights|hotel|insurance|sneakers,2.40,2.39,350,4094
4267de35-3db2-5975-9a69-c9d092a8ecbb,Mccarthy Inc,beauty|education|gym|hotel|shoes,4.48,3.44,175,4704
4809a4c2-2d55-5f26-aa2d-8d896af75d83,Russell-Daniels,flights|jackets|vacation|workout,3.59,5.51,1004,11178
fddf5080-5c9e-5e90-b8a8-a5d01fce05ba,Brown-Wall,finance|running,0.93,5.65,1427,13762
d686ee26-e8bf-5b52-9d13-8caae519072e,Stein-Silva,education|finance|headphones|protein,2.09,7.05,156,1312
8db844de-18df-5c35-99ea-535f88dcd566,"Smith, Gilmore and Johnston",beauty|finance|jackets|skincare,4.11,7.74,413,3597
db7fa23f-eae5-5e39-ae44-45ec0d1d03db,Smith-Bell,fitness|flights|gym,2.90,2.38,62,2193
2fc1fb9f-9f8f-56b6-ab8d-2f46efbf8188,Castaneda-Ashley,running|shoes|sneakers|yoga,3.44,1.31,403,15010
43e901f3-7735-55aa-a7d2-f22c6793273f,Medina-Navarro,fitness|gym|running|shoes|skincare,2.28,1.83,903,16438
f4b5fc38-a5a1-5da3-83ad-402dfcef131d,"Hurst, Freeman and Nelson",insurance|jeans|protein|yoga,2.16,5.18,625,8408
dd0e8bd0-bafd-55f7-9cf5-41a6d647474f,Johnson-Rogers,jackets|vacation,1.29,1.77,132,2642
cf6402be-148e-5a4b-87c8-2aca18e12703,"Yates, Ramsey and Pittman",beauty|shoes,1.12,9.91,3146,19758
4c94cc2e-5849-5d2d-9a77-2c2eedb7976b,Hooper PLC,books|laptop|skincare|workout,1.49,2.73,748,17495
68261d95-756a-5497-8790-948aa74d2ff1,Meadows PLC,fashion|flights|gym|running|yoga,0.62,7.39,1034,10751
1e84f702-547b-52aa-b965-c276d0b3b84c,"Alvarado, Miller and Patterson",gaming|laptop,3.91,4.77,286,5425
d9804c30-d121-5c1e-a99d-ec7bdb9ae42f,White-Green,fitness|smartphone|travel,1.92,5.70,714,9174
bca49995-78fe-50ac-aa18-c745606b3941,Lewis-Murphy,jackets|laptop|running|shoes,1.27,6.82,1852,17921
b5b61e24-bb6f-5559-9e1d-cdb5cb34323d,Ramirez-Bean,headphones|skincare,0.77,9.42,1199,6999
32b98a8a-3ec4-53a2-ad36-668cce610b45,King-Miller,headphones|yoga,0.95,2.93,427,13686
2bcb600f-e913-576c-8c5b-05ea031faa1a,Curry Inc,smartphone|travel,4.37,2.21,117,3851
377b03d9-d032-5f08-bc86-eb8451c8485c,Walker-Jones,shoes|travel|yoga,1.42,6.49,541,5516
e39b0814-10f5-5fa8-b7f4-35b04680c3a1,"Williams, Johnson and Wright",education|jeans,1.02,1.97,184,9358
67c82e24-fbb3-5b65-9089-c09fbd53277c,Howell and Sons,beauty|finance|jackets|workout,0.70,9.97,1679,10663
489b1a1f-1055-5594-8679-09106784c89b,Wells Inc,electronics|gaming,4.13,6.19,1478,18521
19e107bd-303e-5707-a2b6-555fb5d126e9,"Gould, Marshall and Scott",electronics|gaming,2.21,9.74,1516,10025
ea570ab7-c5da-51f7-871c-0441bcde2d6c,Jackson-Lawson,electronics|fitness|gaming|smartphone|vacation,3.15,8.80,1462,11674
dfd1e472-f4d4-56b4-bd54-ba9cf98233a3,"Higgins, Strickland and Martin",beauty|finance|smartphone,2.26,9.40,2194,18557
4745db6c-9865-51dc-a3f0-b792fdd976c8,Rodriguez-Johnson,finance|flights|smartphone,2.99,6.93,900,7585
37470413-1401-590a-b718-a3b4efbaeb38,Johnston-Odonnell,laptop|shoes|travel,2.25,7.51,454,3571
24076d91-7252-5f1c-98e2-a3cb505d4392,Sanders-Espinoza,fashion|gaming|gym|jeans|travel,3.51,6.38,2403,19849
a9af0466-2eb8-53f7-810e-8a8988077b03,Vargas Ltd,skincare|smartphone,0.52,6.21,1627,18500
0c5ff2da-7aa0-55c0-aaa0-9602dd25b9c3,Garcia LLC,flights|running|skincare|sneakers|travel,2.60,5.47,832,9207
95663db2-0ef9-5566-8951-a6e2d2d5b6cd,"Burke, Martinez and Riggs",education|electronics,3.04,4.36,1296,17611
8945ef39-1f62-5658-b8fc-5bc2c1718055,Reed Group,fitness|insurance|jackets|smartphone,4.84,9.69,2040,15899
4e3377e6-2034-5dc4-9636-c1e8f8654aae,"Wood, Hunter and Peterson",beauty|education|hotel|skincare|travel,3.04,5.34,774,16275
a20e9f19-b43a-53e5-8f41-cc9616ac7671,Short-Garcia,finance|skincare|smartphone|travel,4.08,2.07,210,4657
6692b3c9-aa21-5696-8bf5-7ca07e53d6d6,Reid-Poole,fashion|gym|hotel|shoes|skincare,1.24,7.21,967,9434
fe93645a-5252-572c-8a2d-1f110da473bb,"Hernandez, Thompson and Boyd",beauty|laptop,2.58,1.36,100,19232
75604300-93b2-5f78-9eff-532181893cfc,"Nelson, Morton and Medina",fitness|flights|smartphone|workout,2.32,9.53,330,2207
bb184d5f-f582-521b-b22a-a6a614234e80,Marshall-Petersen,education|gym|sneakers,3.35,8.84,1036,7388
b1cff91e-8104-5edc-a611-5ec7e4d1b5ee,"Adams, Christian and Rivas",electronics|running|yoga,0.68,9.63,2660,19872
3267ebc3-2670-593e-9d92-f83a3a1f401e,Ramirez Group,books|gaming|gym|smartphone,1.03,8.54,929,5868
886b93ac-a1a7-5d54-bc97-6aef38def9b9,Christensen PLC,education|workout,3.05,9.24,1469,10837
39693c86-14fb-5fb2-8f7c-bbb5785f784c,"Barnett, Rogers and Snyder",books|insurance|laptop|shoes|workout,4.84,3.57,333,4237
ac24fad8-d3c2-5ffe-927e-2f9f474fb1df,White-Lewis,fitness|jeans,4.29,9.78,2045,16651
73511ccb-0cf6-5385-ab85-4b33622e12fc,Peterson-Beard,books|jackets|protein|sneakers,4.87,9.09,841,8927
5ec01cdb-3a1e-585a-9e23-aca31e1998e7,"Beard, Peters and Black",education|insurance|skincare|smartphone,0.85,1.81,324,8012
42173cc2-a4d8-5969-be17-9dd822da849f,Miller Ltd,education|skincare|smartphone|workout,1.43,2.42,311,5868
20a9ea3c-5309-5ba1-bb63-bb97159f0ad9,Freeman-Chang,books|education|electronics|headphones|hotel,0.78,2.38,44,1267
73a1c96c-ca5e-5e27-b057-9be4951c1244,"Alvarez, Joseph and West",flights|laptop,3.32,5.83,1364,15988
bdd69a25-7f06-5115-b2f2-6cf925bff153,Davis and Sons,skincare|vacation,2.07,9.54,2265,17323
04cc758c-f08b-54e0-a89d-aedf90f0df0f,Holt-Torres,headphones|smartphone|yoga,3.97,4.40,212,2735
274c2201-f2ca-5964-9442-8ca229996817,"Wood, Tran and Cooper",flights|protein|vacation|workout,3.75,3.06,567,8864
3b78ce63-bdba-5082-8da6-87c5e30fc90f,"Pierce, Bell and Chavez",insurance|jeans|skincare|workout,2.79,5.68,847,18753
bb6ee7be-80b9-5c8f-86e2-ed641df22c45,King-Martinez,gaming|sneakers|travel,3.17,1.60,465,8608
c78dd5af-5eda-5b89-a924-19b06a1ae5b7,Stewart Ltd,education|flights|hotel|shoes,2.64,9.07,2087,14428
9a32546f-9d41-54d7-8f92-e6d65dbf1daa,"Tapia, Vaughn and Lee",fashion|vacation,3.37,4.85,1765,15700
b347b960-8af5-5d08-b231-c486617d7f5e,"Washington, Hardy and Bray",electronics|fashion|gym|smartphone|travel,2.41,4.34,906,12693
de9241db-bbc6-59b5-839e-0380fe299b0e,"Carlson, Hooper and Wall",finance|headphones|shoes|travel|vacation,3.32,2.79,44,2883
ea8fdb0b-20ea-56e9-af7b-01335c000f1b,Perez-White,books|jackets,4.80,2.00,1024,16107
